bow_P,bow_L,bow_V,bow_G,bow_A,bow_K,bow_Y,bow_I,bow_F,bow_Q,bow_R,bow_E,bow_S,bow_T,bow_H,bow_N,bow_D,bow_W,bow_M,bow_C,word2vec_0,word2vec_1,word2vec_2,word2vec_3,word2vec_4,word2vec_5,word2vec_6,word2vec_7,word2vec_8,word2vec_9,word2vec_10,word2vec_11,word2vec_12,word2vec_13,word2vec_14,word2vec_15,word2vec_16,word2vec_17,word2vec_18,word2vec_19,word2vec_20,word2vec_21,word2vec_22,word2vec_23,word2vec_24,word2vec_25,word2vec_26,word2vec_27,word2vec_28,word2vec_29,word2vec_30,word2vec_31,word2vec_32,word2vec_33,word2vec_34,word2vec_35,word2vec_36,word2vec_37,word2vec_38,word2vec_39,word2vec_40,word2vec_41,word2vec_42,word2vec_43,word2vec_44,word2vec_45,word2vec_46,word2vec_47,word2vec_48,word2vec_49,word2vec_50,word2vec_51,word2vec_52,word2vec_53,word2vec_54,word2vec_55,word2vec_56,word2vec_57,word2vec_58,word2vec_59,word2vec_60,word2vec_61,word2vec_62,word2vec_63,word2vec_64,word2vec_65,word2vec_66,word2vec_67,word2vec_68,word2vec_69,word2vec_70,word2vec_71,word2vec_72,word2vec_73,word2vec_74,word2vec_75,word2vec_76,word2vec_77,word2vec_78,word2vec_79,word2vec_80,word2vec_81,word2vec_82,word2vec_83,word2vec_84,word2vec_85,word2vec_86,word2vec_87,word2vec_88,word2vec_89,word2vec_90,word2vec_91,word2vec_92,word2vec_93,word2vec_94,word2vec_95,word2vec_96,word2vec_97,word2vec_98,word2vec_99
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.05096751525998115,0.04821706041693687,0.042848847433924676,0.0246874263510108,0.012987040169537067,-0.058770859986543654,0.06129269078373909,0.14840385764837266,-0.09865483045578002,-0.10017858743667603,0.008052310522180051,-0.10549611523747444,-0.04446278288960457,0.011943605821579694,0.010741042729932815,-0.02539800275117159,0.07101659551262855,0.03284412324428558,-0.031804372929036616,-0.18081533759832383,0.022287334874272348,0.016302291685133242,0.12472229599952697,-0.019029488787055016,-0.020382254105061292,0.04547713249921799,-0.06615567579865456,0.047878148406744,-0.03964969180524349,0.039263279363512996,0.043771038949489596,-0.057643468305468556,0.03881317190825939,-0.061354611068964005,-0.04011162891983986,0.05232118181884289,0.03718649297952652,0.008572113979607821,-0.033349379897117615,-0.024073297157883644,0.06357761844992638,-0.038688994199037555,-0.07928726300597191,0.08196914941072464,0.030746929161250592,-0.012845737114548682,-0.057856380194425586,-0.03422337397933006,0.035187321901321414,0.02843929212540388,-0.0021139327669516205,-0.06792899668216705,0.005685374815948307,-0.026147760450839996,-0.030979040078818798,-0.02571473438292742,0.0254305562004447,-0.0545937679708004,0.03631827346980572,0.03747657164931297,-0.027716021239757537,-0.04342926852405071,0.1252139464020729,0.00021265433169901372,-0.04532502181828022,0.09748948141932487,0.02031540181487799,0.10837815254926682,-0.08595974445343017,-0.001126226712949574,0.02348260544240475,0.10418550819158554,0.0732379712164402,0.04320589080452919,0.051725433021783826,0.04080823734402657,0.06406862288713455,0.013875001296401023,-0.017323123663663863,-0.07439207136631013,-0.09529436081647873,-0.029074911028146744,0.025780557096004485,0.05486402586102486,-0.02910983543843031,-0.05902508124709129,0.06805953234434128,-0.04102055430412292,0.019356279447674752,-0.0007716243213508278,0.061729691177606585,0.05600285530090332,0.04431072100996971,-0.012625595671124756,0.12187023162841797,0.035701484978199007,0.05631340518593788,-0.017509969882667065,0.06654619202017784,0.04917650371789932
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0526270130649209,0.04835018329322338,0.04118351032957435,0.02380541223101318,0.015175339067354798,-0.058759658597409725,0.06060990411788225,0.14904492534697056,-0.09756719321012497,-0.09857728146016598,0.007863992344937287,-0.10602361429482698,-0.04510507266968489,0.013508564908988774,0.011194768609129824,-0.024768796982243657,0.06922623608261347,0.033289930783212185,-0.030523031717166305,-0.1780384909361601,0.023110438138246536,0.015144802175200311,0.12446016073226929,-0.017964407801628113,-0.017756688757799566,0.044514935463666916,-0.06540342699736357,0.04589195363223553,-0.03790759248659015,0.03692330187186599,0.04621924553066492,-0.05857646046206355,0.03890864131972194,-0.059732199646532536,-0.03882864862680435,0.052628838922828436,0.03863612562417984,0.009529922041110694,-0.03098910115659237,-0.025361211504787207,0.06148081738501787,-0.03873532637953758,-0.07893849071115255,0.08111688308417797,0.028753022430464625,-0.011010336689651012,-0.056483409367501736,-0.03352081310003996,0.03386334143579006,0.02804421936161816,-0.0004976138297934085,-0.06833571754395962,0.0035986352304462343,-0.02440489921718836,-0.02916551544331014,-0.026466442970559,0.02711096336133778,-0.055012065917253494,0.036322508472949266,0.036002946086227894,-0.029725583735853434,-0.04187357937917113,0.1259185578674078,-0.0012512313551269472,-0.046039295848459005,0.09645154979079962,0.021958286641165614,0.10651206597685814,-0.0849592499434948,0.0009606800449546427,0.02278234949335456,0.10336227528750896,0.07270077709108591,0.044089728966355324,0.052229803055524826,0.03862820565700531,0.06151901185512543,0.014160437509417534,-0.0179844512604177,-0.07311304844915867,-0.09405913390219212,-0.029465282801538706,0.027341844979673624,0.05362257082015276,-0.028799487510696054,-0.058193217031657696,0.06639893166720867,-0.043708845507353544,0.01712614018470049,-0.0010271527571603656,0.06133641768246889,0.05638789292424917,0.04660484287887812,-0.013444978423649445,0.12165253236889839,0.03671235404908657,0.05636764224618673,-0.016522727208212018,0.06486657168716192,0.049859085120260715
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.05044552218168974,0.044840363785624504,0.03703797468915582,0.020336535526439548,0.01411182968877256,-0.05608925502747297,0.056523374281823635,0.1459453236311674,-0.09403030946850777,-0.09462283179163933,0.004971562637365423,-0.10023032408207655,-0.04810819961130619,0.014631654135882854,0.007317864816286601,-0.02506582369096577,0.06770642381161451,0.03427982050925493,-0.02642470574937761,-0.17297733761370182,0.022324308287352324,0.010212231438345043,0.12026411667466164,-0.013616360491141677,-0.018609104095958173,0.04284262657165527,-0.06245908606797457,0.04794676322489977,-0.039166773203760386,0.03798032598569989,0.045216585509479046,-0.054910136852413416,0.036585971247404814,-0.06268180627375841,-0.035381119698286057,0.04837518045678735,0.03717854805290699,0.008441053912974894,-0.031130188144743443,-0.022118902765214443,0.06057619582861662,-0.04029179271310568,-0.07901246380060911,0.0812769066542387,0.02971109631471336,-0.011890001129359007,-0.05403682962059975,-0.033478994853794575,0.03515224810689688,0.026246606139466166,0.000452941982075572,-0.0654031578451395,0.005990981502691284,-0.023506789468228817,-0.029726138105615973,-0.026712918421253562,0.023251136066392064,-0.05581372790038586,0.03334925277158618,0.03485993295907974,-0.02577770361676812,-0.040893813129514456,0.12032205052673817,-0.0005760082858614624,-0.04319702973589301,0.09347768221050501,0.024824318243190646,0.1040678434073925,-0.08097167499363422,0.0026928450679406524,0.022918544709682465,0.10130796022713184,0.06824985053390265,0.041848412714898586,0.05313727259635925,0.04056105948984623,0.0606054849922657,0.017780238995328546,-0.0130985367577523,-0.07281232811510563,-0.0928734540939331,-0.028921156655997038,0.02541829412803054,0.05077388323843479,-0.03104984131641686,-0.05882533174008131,0.06594585813581944,-0.04015247477218509,0.01480045192874968,-0.003371471189893782,0.061500280164182186,0.05320402793586254,0.04580884054303169,-0.013629355147713795,0.11589346453547478,0.031614234670996666,0.055541238747537136,-0.016586172627285123,0.06147339101880789,0.05035048443824053
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06837807148694992,0.06558565571904182,0.0486350879073143,0.0286821935325861,0.011534997075796128,-0.07531040608882904,0.07209311425685883,0.18568120002746583,-0.12524081021547318,-0.12601612955331803,0.010145838372409344,-0.1292511746287346,-0.05804576128721237,0.010395764838904142,0.014454834349453449,-0.03368166871368885,0.09626868516206741,0.04055539816617966,-0.04030835330486297,-0.23154958486557006,0.024195277690887453,0.018930988013744356,0.15579417049884797,-0.022061396017670633,-0.023754674196243285,0.054770606011152266,-0.08440583050251008,0.06493719890713692,-0.05279728546738625,0.05340099483728409,0.055028480291366574,-0.07031073272228242,0.04956209883093834,-0.077577044069767,-0.0538667269051075,0.06505817025899888,0.04451943039894104,0.011513833329081536,-0.04238727651536465,-0.024052874371409416,0.08065261244773865,-0.045717102289199826,-0.1005285233259201,0.10273401737213135,0.03871874362230301,-0.017205059342086316,-0.07128888890147209,-0.042290959507226944,0.042117572575807574,0.03741770721971989,0.0008129799563903362,-0.08079331070184707,0.004483425337821245,-0.0319672130048275,-0.04306881129741669,-0.03862477205693722,0.03412686698138714,-0.06982187330722808,0.04317860379815101,0.04885283932089805,-0.03348471708595753,-0.055626345425844194,0.15901177525520324,-0.0012034481856971978,-0.05482031106948852,0.12059356719255447,0.03031526431441307,0.1323562577366829,-0.10837541371583939,-0.004239400965161622,0.029477017000317574,0.1329160675406456,0.08766872733831406,0.05169189795851707,0.06702042892575263,0.0591687947511673,0.0837646633386612,0.0214735995978117,-0.018195970356464385,-0.09150845557451248,-0.11748216599225998,-0.03618571124970913,0.034046934172511104,0.07245084345340728,-0.037931226566433905,-0.07660688906908035,0.08675436526536942,-0.04932087697088718,0.029301781952381135,0.0012032956292387098,0.07500746697187424,0.07554629072546959,0.05554070770740509,-0.019389608688652516,0.1560349851846695,0.0392610102891922,0.07316982746124268,-0.021634474396705627,0.08673907816410065,0.06415654793381691
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06543713621795177,0.06503550987690687,0.04839332867413759,0.026631254237145185,0.011806676164269447,-0.0714348666369915,0.06980457343161106,0.17764466255903244,-0.12131756357848644,-0.1211469117552042,0.008807777659967542,-0.12433965317904949,-0.05563242547214031,0.009836524841375649,0.015719320625066757,-0.033352448139339685,0.09336811304092407,0.04223568178713322,-0.041035331785678864,-0.22291269898414612,0.023206244222819805,0.017432859167456627,0.15184293687343597,-0.02212517661973834,-0.02350163972005248,0.05442649219185114,-0.08053398132324219,0.061266892589628696,-0.05115912202745676,0.053876470774412155,0.05235510319471359,-0.06868886388838291,0.04690729733556509,-0.07752458937466145,-0.05032977368682623,0.06142893806099892,0.04196087457239628,0.011303076520562172,-0.04082821449264884,-0.02358673233538866,0.0773147139698267,-0.045863728038966656,-0.09658753126859665,0.10064459778368473,0.03763342183083296,-0.01716049970127642,-0.06819078233093023,-0.04235087614506483,0.04045561235398054,0.034481574315577745,0.0002804694013320841,-0.08021656423807144,0.004221290699206293,-0.0328486692160368,-0.043108039535582066,-0.03469853708520532,0.033749093767255545,-0.06645368970930576,0.0402261046692729,0.048348003067076206,-0.03127316897735,-0.05482526123523712,0.15165450423955917,1.033378066495061e-05,-0.05154631845653057,0.11822441779077053,0.0309310145676136,0.13002684526145458,-0.10433746501803398,-0.002967281179735437,0.027996972668915987,0.12644838355481625,0.08555990271270275,0.052178021520376205,0.06427569407969713,0.05897315125912428,0.08066670969128609,0.021371571347117424,-0.018445469439029694,-0.08916682749986649,-0.1145502645522356,-0.034914415795356035,0.03291113441810012,0.06850322335958481,-0.03638375410810113,-0.07296053320169449,0.08549194596707821,-0.047783277463167906,0.028093896806240082,-0.0006758551535313018,0.07438130863010883,0.0715352175757289,0.05298625864088535,-0.020479144994169474,0.1481523960828781,0.039412058889865875,0.07333060167729855,-0.022498992271721363,0.08156098052859306,0.06128720287233591
0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.05530649157507079,0.05366687210542815,0.04584629700652191,0.024545403197407722,0.012165792744781356,-0.06425190929855619,0.0634962607707296,0.156087227165699,-0.1036959130849157,-0.10716207751205989,0.010681740598686571,-0.11060553948794093,-0.04612072078245027,0.011133962543681264,0.013411582447588444,-0.026559825587485517,0.07821552987609591,0.03518746234476566,-0.033088816462882926,-0.18874132952519826,0.021188435277768543,0.01379581328572905,0.13267349026032857,-0.022140847385994027,-0.02106761366927198,0.04653959082705634,-0.0710912107356957,0.052549277033124654,-0.04029330238699913,0.04371458478271961,0.04623786732554436,-0.06018889562359878,0.041564320613230975,-0.06304169446229935,-0.04067251245890345,0.05519238513495241,0.04012595223528998,0.009974066633731127,-0.03228720862950597,-0.02020378384206976,0.06807841626661164,-0.04029898239033563,-0.08513386600783893,0.08508743665048055,0.028919043950736523,-0.013036221132746764,-0.05724261754325458,-0.03525804302522114,0.03349871640758855,0.029937401813055788,0.0008385379499356661,-0.0712760431425912,0.004390471598266491,-0.026280890085867474,-0.032841566550944536,-0.026993442193738053,0.029726818070880005,-0.05437416955828667,0.039415515160986354,0.04143819425787244,-0.03335710508482797,-0.046459944386567385,0.1293644681572914,-0.002691184652836195,-0.047180782205292156,0.10208891811115402,0.024271603407604352,0.1081839491214071,-0.08853622313056674,-0.001408673806249031,0.022801169327327182,0.1071318622146334,0.07618820135082517,0.04791229377899851,0.05436019493000848,0.04524264218551772,0.06478739104100636,0.014457798695990018,-0.018214633422238485,-0.07588580836142812,-0.10046818958861488,-0.025847412113632475,0.031486094264047484,0.058306233159133365,-0.03118243001933609,-0.06173815471785409,0.07178264058062009,-0.04382343270948955,0.022649599372276237,0.00011738991348205932,0.06429044210485049,0.058111995458602905,0.045002837266240804,-0.0165931971111734,0.12709474244288035,0.03573809564113617,0.06321625784039497,-0.01911013906023332,0.0690683184989861,0.05112574089850698
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05622826237231493,0.05864755995571613,0.042602029629051685,0.01914218976162374,0.008238240365244565,-0.06560132279992104,0.06321480497717857,0.16405807994306087,-0.11170914769172668,-0.11082014068961143,0.011796789476647973,-0.11295709758996964,-0.048664952628314495,0.009082130796741694,0.013870211492758244,-0.03179417969658971,0.08645539917051792,0.03845751564949751,-0.03453658288344741,-0.20723850280046463,0.020303900353610516,0.01429907069541514,0.14138611033558846,-0.01688832021318376,-0.022218966856598854,0.049578020349144936,-0.07255683746188879,0.051827345974743366,-0.0433887536637485,0.046668440103530884,0.0482743913307786,-0.0606191772967577,0.04558274429291487,-0.06574243493378162,-0.046651843935251236,0.057586267590522766,0.03701641969382763,0.006868924247100949,-0.04105288349092007,-0.02681256039068103,0.06840170919895172,-0.04152802936732769,-0.08582467772066593,0.09219558723270893,0.03260524896904826,-0.015484445553738624,-0.06527317967265844,-0.04092939756810665,0.03175104223191738,0.030538710299879313,-0.0010493491863599047,-0.07383688818663359,-0.0027250070706941187,-0.028306493069976568,-0.039694481529295444,-0.03834722004830837,0.02906805742532015,-0.06618839222937822,0.03689925419166684,0.04004610422998667,-0.03084728540852666,-0.05246724188327789,0.14406867139041424,0.0003356340166646987,-0.052085304632782936,0.109058553352952,0.025373008335009217,0.11582894995808601,-0.09837336465716362,-0.004674124211305752,0.026451331563293934,0.12229855358600616,0.07476338278502226,0.05058799125254154,0.062433005310595036,0.05615882156416774,0.07684616185724735,0.020765540888532996,-0.02043430833145976,-0.07608954049646854,-0.09860994294285774,-0.032665046863257885,0.031006846111267805,0.06666349619626999,-0.0368165448307991,-0.06658557802438736,0.07848116010427475,-0.044431145302951336,0.023456334602087736,0.0018305219418834895,0.06881518289446831,0.06785920821130276,0.04922075569629669,-0.017079815035685897,0.1357739493250847,0.03604213707149029,0.07132998947054148,-0.021851646713912487,0.07701983116567135,0.055660015903413296
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07514415929714839,0.07393947243690491,0.05619834611813227,0.02461103970805804,0.018911758437752724,-0.07717889547348022,0.08209523310263951,0.21691973507404327,-0.1401777962843577,-0.1396357168753942,0.008587124447027842,-0.1505439281463623,-0.062225657204786934,0.011282945983111858,0.01567941376318534,-0.0495415764550368,0.10761967301368713,0.05139703551928202,-0.046851687133312225,-0.26320046186447144,0.02102559059858322,0.017894655466079712,0.17401019732157388,-0.023101969932516415,-0.027161619315544765,0.06002683937549591,-0.08980594078699748,0.07630618413289388,-0.06166700025399526,0.062100556989510856,0.05860659976800283,-0.08512519548336665,0.05141795674959818,-0.08803301056226094,-0.067020316918691,0.07020375380913417,0.04961557065447172,0.007819041279920688,-0.04846087719003359,-0.030985632290442783,0.0853120634953181,-0.04769086465239525,-0.11424916485945384,0.11955134322245915,0.04257835944493612,-0.02021559638281663,-0.07646513481934865,-0.05205109094580015,0.03954797610640526,0.04237282151977221,0.003281013108789921,-0.09586004912853241,0.0021010731967786946,-0.04333174849549929,-0.052023173620303474,-0.05086128289500872,0.0368469829360644,-0.08263750125964482,0.04905201867222786,0.05164702360828718,-0.04007836803793907,-0.07057517518599828,0.18735677003860474,-0.002333256726463636,-0.06919444600741069,0.14138305683930716,0.04045562073588371,0.15371598800023398,-0.13318354388078055,-0.0007907584464798371,0.037714604288339615,0.15838472545146942,0.1043137436111768,0.05874678368369738,0.07399945706129074,0.07171394924322765,0.10132595896720886,0.02474089836080869,-0.028990168124437332,-0.10113428781429927,-0.13442709545294443,-0.04224136471748352,0.03444293141365051,0.08394940197467804,-0.0462626169125239,-0.08914451052745183,0.09843817601601283,-0.06284944464763005,0.03169068694114685,0.0036016556744774184,0.08436429997285207,0.08586358278989792,0.06966083248456319,-0.027290535469849903,0.18322824438412985,0.04965819666783015,0.08857820679744084,-0.02167147087554137,0.10572022199630737,0.06996630380551021
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.04509329671661059,0.046771874030431114,0.03884842370947202,0.014774796785786748,0.005423387823005517,-0.053601001699765526,0.05804004271825155,0.13082356254259744,-0.08994551499684651,-0.09271656349301338,0.005116057446381698,-0.0922227402528127,-0.037828974736233555,0.002276273095048964,0.009338644643624624,-0.03156393952667713,0.06384939700365067,0.024535995597640674,-0.027033801190555096,-0.1652282476425171,0.016107866850992043,0.012671745770300427,0.10918489843606949,-0.014655033281693855,-0.026202901576956112,0.036815544590353966,-0.05769321943322817,0.03930093472202619,-0.03634015160302321,0.039367551604906716,0.03426072063545386,-0.05010810742775599,0.0298707898085316,-0.05909367029865583,-0.03565920889377594,0.05100296810269356,0.028997705628474552,0.00873394776135683,-0.02975955295066039,-0.020243064189950626,0.0636654645204544,-0.03765536596377691,-0.06959113230307896,0.07310269897182782,0.029434547449151676,-0.01707899694641431,-0.0530469703177611,-0.02903212917347749,0.03057810788353284,0.02553338681658109,0.0004618104236821334,-0.055883705615997314,0.01274344821770986,-0.023302388067046802,-0.030144880525767803,-0.024326160550117493,0.025779735296964645,-0.04986884134511153,0.028451867401599884,0.03246265836060047,-0.02043842462201913,-0.04385321090618769,0.10865956296523412,-0.0017298653886731092,-0.034607273836930595,0.08590470378597577,0.01730869555224975,0.09724630415439606,-0.07711418966452281,-0.010721102667351564,0.022700877860188484,0.09316148608922958,0.06666706999142964,0.04074555138746897,0.04749412337938944,0.04650667806466421,0.05963872248927752,0.017101505771279335,-0.011652476309488216,-0.0605164517958959,-0.08244845643639565,-0.022864874297132094,0.02523084543645382,0.04640583197275797,-0.024786338830987614,-0.05415342996517817,0.06378522887825966,-0.02738406074543794,0.02250872862835725,0.002643958267678196,0.0597182201842467,0.05346151192982992,0.0343648170431455,-0.013586274037758509,0.11325065046548843,0.03194624371826649,0.048138365149497986,-0.019788875244557858,0.0635924090941747,0.03782991940776507
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.04608174289266268,0.048583281536897026,0.040964597215255104,0.014045657822862267,0.0098839065200688,-0.05804721266031265,0.05451842273275057,0.13568639755249023,-0.08870833615461986,-0.09398701166113217,0.009772631359131386,-0.09615676353375117,-0.036285690031945705,0.006856533853958051,0.012889229692518711,-0.025732755040129025,0.06785676876703899,0.028000013902783394,-0.02472145886470874,-0.16581476231416067,0.019062512864669163,0.008624097099527717,0.11216697345177333,-0.018659834749996662,-0.021100308746099472,0.03862829568485419,-0.05993951732913653,0.0411808155477047,-0.03324990222851435,0.03827196732163429,0.03676694196959337,-0.04978493849436442,0.03493919378767411,-0.053758653501669564,-0.031485795974731445,0.05113843083381653,0.03213543693224589,0.008922256994992495,-0.028005313128232956,-0.017080790052811306,0.059953488409519196,-0.036920047054688133,-0.0725901648402214,0.07531018927693367,0.023609162618716557,-0.01416111613313357,-0.04972647875547409,-0.03157822291056315,0.02586686673263709,0.027055974428852398,0.003434518507371346,-0.05655049035946528,0.004431810152406494,-0.02199982851743698,-0.024503215216100216,-0.02574800265332063,0.02685792992512385,-0.04719763435423374,0.033046415696541466,0.03707994458576044,-0.03216535784304142,-0.04288003469506899,0.10720690091451009,-0.003019634503289126,-0.03882275645931562,0.08670469994346301,0.020121310216685135,0.08953896413246791,-0.07117438813050588,-0.0047564262834688025,0.02122895171244939,0.09207304567098618,0.06349689637621243,0.04504337161779404,0.0497150681912899,0.04423913483818372,0.05988936871290207,0.013579074603815874,-0.01221852113182346,-0.0586208812892437,-0.08452652270595233,-0.01630025776103139,0.030564853300650913,0.04984325667222341,-0.02815199891726176,-0.05012116705377897,0.06270188217361768,-0.036010912309090294,0.023450509334603947,0.002341493343313535,0.05918227011958758,0.05228054026762644,0.04054040585954984,-0.015583259984850883,0.10898903757333755,0.03164519431690375,0.05455059309800466,-0.018184430586795013,0.05994265774885813,0.040582604706287384
